datetime,T_outdoor,T_wb,solar,T_room,cooling_load_kW,chiller_power_kW,chw_pump_power_kW,cw_pump_power_kW,ct_fan_power_kW,terminal_fan_power_kW,total_power_kW,chiller_PLR,chiller_COP,T_chw_supply,T_cw_supply,pipe_heat_gain_kW
2024-07-06 00:35:00,9.420010673781102,4.656374318775827,0.0,8.176652199482273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:36:00,8.764924647647925,4.074486384428041,0.0,8.380594491812342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:37:00,7.402366417586669,2.081844515257253,0.0,8.041462383039786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:38:00,6.068630536372436,0.9895592918284368,0.0,7.357521038437149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:39:00,7.834286871214659,2.4645440256130353,0.0,7.522806217344456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:40:00,9.658034192951835,4.960052003952943,0.0,8.263047051928023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:41:00,7.913728060376883,3.592512440226033,0.0,8.141945143937074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:42:00,8.90068922627046,3.876005066550656,0.0,8.404986542400412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:43:00,10.343846828974646,4.994388913111296,0.0,9.077150626549967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:44:00,8.402483930645168,3.564407858955156,0.0,8.843257176413692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:45:00,7.184769069164055,2.590446245101811,0.0,8.268292519392388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:46:00,7.515402756936409,2.3322620838348156,0.0,8.007280696544148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:47:00,8.270369156395436,3.193616412978932,0.0,8.098488203805392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:48:00,7.190688670550253,2.9643972056096475,0.0,7.7837722616165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:49:00,7.539806254662372,2.8811290346578162,0.0,7.699194126325643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:50:00,7.4830309901041865,2.454519772850112,0.0,7.624254690260388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:51:00,8.133066253456978,3.6937998238927183,0.0,7.800649482989382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:52:00,6.016947174201855,1.146706917241384,0.0,7.182275566578922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
